Order_ID,Date,Client,Categorie,Produit,Quantite,Prix_Unitaire,Remise,Pays,Canal_Vente,Frais_Livraison,Satisfaction,Montant_Total
CMD00001,2024-04-12,Ali Benali,Maison,Ventilateur,4,1901.92,0.1,Italie,Web,11.7,5,6846.912
CMD00002,2024-04-09,Lucie Martin,Électronique,TV 4K,2,320.43,0.1,Belgique,Web,6.89,5,576.774
CMD00003,2024-07-10,Paolo Bianchi,Électronique,TV 4K,3,50.96,0.05,Suisse,App,10.83,2,145.236
CMD00004,2024-08-23,Sarah Moreau,Maison,Ventilateur,4,374.97,0.15,Maroc,Magasin,9.17,5,1274.8980000000001
CMD00005,2024-07-06,Léa Durand,Mode,Veste,1,589.55,0.1,Espagne,App,6.0,4,530.595
CMD00006,2024-11-02,Ali Benali,Électronique,Casque audio,3,771.1,0.15,Allemagne,Magasin,8.89,3,1966.305
CMD00007,2024-01-14,Nina Müller,Beauté,Rouge à lèvres,5,906.49,0.05,Maroc,Magasin,14.23,4,4305.827499999999
CMD00008,2024-04-01,Paolo Bianchi,Maison,Lampadaire,2,776.98,0.05,Espagne,App,1.47,4,1476.262
CMD00009,2024-07-24,Jean Dupont,Sport,Raquette,4,252.86,0.2,France,Magasin,12.5,3,809.152
CMD00010,2024-09-16,Youssef El Amrani,Sport,Raquette,1,524.97,0.15,France,Web,4.68,2,446.22450000000003
CMD00011,2024-09-26,Ali Benali,Mode,Jean,5,1939.47,0.05,Maroc,App,6.75,2,9212.4825
CMD00012,2024-02-22,Emma Rossi,Maison,Mixeur,4,100.0,0.2,Allemagne,Web,5.83,2,320.0
CMD00013,2024-06-05,Lucie Martin,Maison,Aspirateur,2,1930.86,0.15,Belgique,Magasin,8.14,1,3282.4619999999995
CMD00014,2024-05-15,Sarah Moreau,Jouets,Lego,5,158.36,0.3,Belgique,Magasin,6.35,1,554.26
CMD00015,2024-09-17,Carlos Gomez,Jouets,Lego,3,405.7,0.1,Belgique,App,11.85,3,1095.3899999999999
CMD00016,2024-11-23,Léa Durand,Sport,Chaussures de sport,2,723.35,0.0,Maroc,Web,13.72,1,1446.7
CMD00017,2024-04-08,Ali Benali,Électronique,Casque audio,4,668.49,0.3,Belgique,Magasin,4.66,5,1871.772
CMD00018,2024-04-10,Jean Dupont,Jouets,Lego,4,1278.74,0.1,Belgique,Web,8.42,3,4603.464
CMD00019,2024-07-25,Emma Rossi,Électronique,Casque audio,3,1523.96,0.05,France,App,3.54,3,4343.286
CMD00020,2024-02-21,Paolo Bianchi,Maison,Mixeur,2,60.58,0.2,Italie,App,3.03,1,96.928
CMD00021,2024-05-22,Youssef El Amrani,Beauté,Crème visage,5,1022.06,0.25,Suisse,Magasin,2.09,5,3832.7249999999995
CMD00022,2024-08-30,Carlos Gomez,Mode,Veste,3,414.09,0.2,Belgique,Web,1.15,3,993.816
CMD00023,2024-05-13,Emma Rossi,Électronique,Ordinateur portable,4,1860.1,0.2,Suisse,Web,4.43,5,5952.32
CMD00024,2024-05-07,Youssef El Amrani,Jouets,Peluche,4,1609.31,0.15,Allemagne,App,6.25,3,5471.6539999999995
CMD00025,2024-10-09,Jean Dupont,Mode,Jean,2,252.96,0.0,Maroc,App,4.77,1,505.92
CMD00026,2024-05-16,Lucie Martin,Mode,Montre,1,1637.85,0.0,Maroc,Web,4.57,3,1637.85
CMD00027,2024-06-08,Jean Dupont,Sport,Tapis de course,5,1387.95,0.05,Italie,Web,5.06,3,6592.7625
CMD00028,2024-09-24,Sarah Moreau,Jouets,Puzzle,1,813.63,0.25,Italie,App,14.58,4,610.2225
CMD00029,2024-07-05,Nina Müller,Électronique,Tablette,2,1427.42,0.2,Italie,App,4.27,1,2283.8720000000003
CMD00030,2024-08-11,Paolo Bianchi,Sport,Ballon,1,1953.46,0.15,Espagne,Magasin,0.77,5,1660.441
CMD00031,2024-08-05,Emma Rossi,Beauté,Sérum,1,1272.36,0.25,Belgique,Web,2.17,4,954.27
CMD00032,2024-04-07,Youssef El Amrani,Beauté,Crème visage,4,170.9,0.1,Suisse,Magasin,3.63,5,615.24
CMD00033,2024-11-21,Emma Rossi,Sport,Chaussures de sport,3,1634.7,0.0,Maroc,App,2.26,3,4904.1
CMD00034,2024-12-11,Paolo Bianchi,Électronique,Casque audio,5,1718.13,0.15,Allemagne,Magasin,10.16,3,7302.052500000001
CMD00035,2024-05-07,Jean Dupont,Électronique,Smartphone,3,1620.91,0.15,France,App,9.68,4,4133.320500000001
CMD00036,2024-05-30,Lucie Martin,Mode,Montre,2,1677.04,0.1,Belgique,Magasin,5.12,1,3018.672
CMD00037,2024-02-29,Carlos Gomez,Jouets,Voiture téléguidée,2,523.3,0.15,Espagne,Magasin,2.62,1,889.6099999999999
CMD00038,2024-06-08,Youssef El Amrani,Mode,Veste,1,491.29,0.25,Allemagne,App,13.46,5,368.46750000000003
CMD00039,2024-05-31,Ali Benali,Électronique,Smartphone,3,385.53,0.0,Italie,Web,5.24,3,1156.59
CMD00040,2024-04-13,Paolo Bianchi,Jouets,Puzzle,1,1287.64,0.1,Allemagne,Magasin,14.03,4,1158.8760000000002
CMD00041,2024-12-14,Nina Müller,Mode,Chaussures,4,1165.57,0.25,Belgique,Magasin,14.1,1,3496.71
CMD00042,2024-07-26,Carlos Gomez,Jouets,Peluche,2,330.01,0.05,France,App,7.28,3,627.019
CMD00043,2024-10-30,Nina Müller,Beauté,Crème visage,5,456.3,0.0,France,Web,0.27,5,2281.5
CMD00044,2024-06-24,Nina Müller,Beauté,Parfum,4,739.27,0.3,Italie,Magasin,10.81,1,2069.9559999999997
CMD00045,2024-02-20,Jean Dupont,Mode,Montre,4,1022.54,0.25,Maroc,Web,3.98,5,3067.62
CMD00046,2024-11-12,Youssef El Amrani,Mode,Chaussures,3,874.44,0.2,Espagne,App,7.54,4,2098.6560000000004
CMD00047,2024-08-07,Emma Rossi,Sport,Tapis de course,3,1148.29,0.0,Maroc,Magasin,0.65,4,3444.87
CMD00048,2024-02-06,Jean Dupont,Maison,Mixeur,5,566.33,0.25,Espagne,Magasin,5.55,1,2123.7375
CMD00049,2024-04-25,Jean Dupont,Beauté,Crème visage,5,862.09,0.2,France,App,8.58,4,3448.36
CMD00050,2024-05-07,Lucie Martin,Maison,Aspirateur,5,776.34,0.3,Espagne,Web,4.03,3,2717.19
CMD00051,2024-12-25,Jean Dupont,Sport,Raquette,2,1118.03,0.3,Belgique,Magasin,12.66,3,1565.242
CMD00052,2024-09-29,Youssef El Amrani,Sport,Vélo,2,1233.86,0.25,Belgique,App,5.38,3,1850.79
CMD00053,2024-06-18,Youssef El Amrani,Mode,Montre,1,281.88,0.25,Italie,Magasin,5.39,5,211.41
CMD00054,2024-11-08,Youssef El Amrani,Jouets,Jeu de société,2,1622.13,0.0,Italie,Web,9.17,4,3244.26
CMD00055,2024-05-22,Nina Müller,Électronique,Smartphone,4,1598.61,0.0,Suisse,App,1.06,4,6394.44
CMD00056,2024-06-01,Emma Rossi,Beauté,Crème visage,4,1161.94,0.3,Suisse,Web,10.08,3,3253.432
CMD00057,2024-12-07,Léa Durand,Maison,Machine à café,2,1089.86,0.2,Espagne,Magasin,12.58,2,1743.7759999999998
CMD00058,2024-04-10,Nina Müller,Sport,Ballon,1,84.32,0.25,Belgique,Web,4.55,3,63.239999999999995
CMD00059,2024-04-12,Léa Durand,Mode,Jean,1,1657.46,0.15,Allemagne,Web,3.24,5,1408.841
CMD00060,2024-11-06,Lucie Martin,Jouets,Peluche,4,1685.63,0.15,France,Magasin,6.17,3,5731.142
CMD00061,2024-05-24,Emma Rossi,Maison,Lampadaire,4,274.16,0.05,Allemagne,App,7.74,3,1041.808
CMD00062,2024-04-26,Lucie Martin,Maison,Aspirateur,3,883.55,0.3,Espagne,Magasin,3.76,2,1855.4549999999997
CMD00063,2024-08-26,Youssef El Amrani,Électronique,Smartphone,1,1380.11,0.0,Allemagne,App,2.6,1,1380.11
CMD00064,2024-09-28,Paolo Bianchi,Maison,Aspirateur,2,487.18,0.25,Maroc,Web,10.72,5,730.77
CMD00065,2024-09-03,Lucie Martin,Beauté,Sérum,5,1478.41,0.3,Italie,App,6.54,5,5174.4349999999995
CMD00066,2024-10-11,Carlos Gomez,Électronique,Casque audio,3,502.98,0.1,Suisse,Magasin,11.37,1,1358.046
CMD00067,2024-07-22,Youssef El Amrani,Beauté,Rouge à lèvres,4,101.55,0.0,Italie,Magasin,4.67,4,406.2
CMD00068,2024-09-10,Sarah Moreau,Beauté,Parfum,2,1529.1,0.2,Suisse,Magasin,7.1,1,2446.56
CMD00069,2024-10-16,Paolo Bianchi,Électronique,Smartphone,5,803.02,0.05,Espagne,Web,14.24,4,3814.345
CMD00070,2024-11-20,Lucie Martin,Beauté,Crème visage,4,755.48,0.05,Maroc,Magasin,14.0,1,2870.824
CMD00071,2024-06-08,Léa Durand,Maison,Aspirateur,5,334.24,0.3,Espagne,Magasin,14.16,4,1169.84
CMD00072,2024-02-02,Sarah Moreau,Mode,Chaussures,3,1603.89,0.15,Suisse,Web,5.82,4,4089.9195
CMD00073,2024-03-05,Jean Dupont,Sport,Vélo,1,1624.3,0.1,Italie,App,14.12,3,1461.87
CMD00074,2024-01-12,Emma Rossi,Maison,Ventilateur,1,1306.45,0.1,France,Magasin,2.94,5,1175.805
CMD00075,2024-03-30,Jean Dupont,Sport,Ballon,2,87.54,0.05,Belgique,Web,10.25,1,166.326
CMD00076,2024-04-14,Paolo Bianchi,Mode,Sac à main,5,1691.3,0.05,Belgique,App,5.11,3,8033.674999999999
CMD00077,2024-08-04,Léa Durand,Mode,Jean,4,1388.85,0.05,Italie,Web,9.43,5,5277.629999999999
CMD00078,2024-07-10,Lucie Martin,Jouets,Puzzle,5,1935.49,0.15,France,App,2.66,1,8225.8325
CMD00079,2024-09-24,Léa Durand,Sport,Vélo,3,1981.11,0.15,Suisse,Magasin,5.58,5,5051.8305
CMD00080,2024-10-12,Emma Rossi,Sport,Chaussures de sport,1,1362.89,0.3,France,Magasin,11.32,1,954.023
CMD00081,2024-07-05,Sarah Moreau,Électronique,Casque audio,1,1073.31,0.15,Allemagne,App,12.4,5,912.3135
CMD00082,2024-03-16,Ali Benali,Jouets,Peluche,3,784.51,0.15,France,App,14.38,3,2000.5004999999996
CMD00083,2024-12-04,Youssef El Amrani,Maison,Ventilateur,1,645.43,0.25,Allemagne,Magasin,10.15,4,484.0725
CMD00084,2024-01-25,Carlos Gomez,Sport,Chaussures de sport,2,1267.36,0.2,France,App,1.38,4,2027.7759999999998
CMD00085,2024-02-08,Carlos Gomez,Électronique,Tablette,4,1348.31,0.15,Espagne,Web,14.19,1,4584.254
CMD00086,2024-05-12,Jean Dupont,Mode,Chaussures,5,1862.55,0.05,Espagne,App,0.86,2,8847.1125
CMD00087,2024-01-09,Emma Rossi,Électronique,Casque audio,3,1776.53,0.1,Allemagne,App,10.59,4,4796.631
CMD00088,2024-06-16,Jean Dupont,Maison,Lampadaire,2,1675.56,0.0,Allemagne,Magasin,1.52,5,3351.12
CMD00089,2024-01-29,Carlos Gomez,Sport,Vélo,2,799.34,0.1,Belgique,Web,10.59,5,1438.8120000000001
CMD00090,2024-05-24,Lucie Martin,Électronique,Ordinateur portable,5,474.12,0.2,Espagne,Magasin,5.56,4,1896.48
CMD00091,2024-12-29,Carlos Gomez,Mode,Chaussures,1,1187.86,0.15,Espagne,Web,5.64,3,1009.6809999999999
CMD00092,2024-06-21,Paolo Bianchi,Électronique,Smartphone,3,504.96,0.1,Espagne,Magasin,1.67,3,1363.3919999999998
CMD00093,2024-11-12,Lucie Martin,Mode,Montre,5,816.35,0.25,Belgique,App,0.84,4,3061.3125
CMD00094,2024-07-09,Youssef El Amrani,Sport,Tapis de course,1,1490.98,0.1,Maroc,App,8.75,1,1341.882
CMD00095,2024-02-13,Jean Dupont,Beauté,Rouge à lèvres,4,578.57,0.0,Belgique,Magasin,3.35,2,2314.28
CMD00096,2024-07-21,Ali Benali,Beauté,Rouge à lèvres,5,1940.06,0.2,Allemagne,Web,4.84,5,7760.24
CMD00097,2024-02-16,Jean Dupont,Jouets,Puzzle,4,156.86,0.1,France,Web,10.43,1,564.696
CMD00098,2024-02-23,Paolo Bianchi,Mode,Montre,1,441.45,0.3,Allemagne,Magasin,6.82,5,309.015
CMD00099,2024-08-11,Jean Dupont,Beauté,Shampoing,3,1803.3,0.0,Italie,Magasin,13.73,2,5409.9
CMD00100,2024-06-12,Ali Benali,Électronique,Smartphone,4,222.44,0.2,Maroc,Magasin,4.16,4,711.808
CMD00101,2024-12-22,Carlos Gomez,Sport,Vélo,2,782.65,0.15,Espagne,Magasin,8.75,4,1330.5049999999999
